isocode,year,r,Y,NFA_Y,PB_Y,G_Y,C_Y,Inc_Y,tau,d_bar,pop,pop_growth,pop_working
FRA,2382,0.024358453129081612,0.019131092793674948,-0.8213154737272448,0.011388806027276654,0.13652881445647827,0.517734344715536,0.7698000096330482,0.5072630308267666,0.8085868601571112,0.4131571309279897,-0.0050000000000001,0.2815509559868218
FRA,2383,0.024358506264336374,0.01903542944953431,-0.8213050488327922,0.011388858123310863,0.1365287970911335,0.5177347448187758,0.771337807414079,0.5072630592057508,0.8085867737384532,0.4110913452733498,-0.005,0.2801432012068877
FRA,2384,0.024358557989257616,0.01894024466963563,-0.8212948414986854,0.011388908530609282,0.13652878028870072,0.5177351354809152,0.7728833137492009,0.5072630866648068,0.8085866901211274,0.40903588854698303,-0.005,0.27874248520085326
FRA,2385,0.02435860831010189,0.018845536057960223,-0.821284849343002,0.011388957244871878,0.13652876405061318,0.517735516577137,0.7744365673396716,0.5072631132015922,0.8085866093122663,0.4069907091042481,-0.005,0.27734877277484904
FRA,2386,0.024358657231896712,0.01875130123067946,-0.821275069935496,0.011389004257931018,0.1365287483795935,0.5177358879596522,0.7759976070764831,0.507263138811658,0.808586531325419,0.40495575555872687,-0.005,0.27596202891097477
FRA,2387,0.02435870475820184,0.01865753781612466,-0.8212655008007466,0.011389049556791625,0.13652873327997328,0.5177362494511992,0.7775664720393738,0.5072631634879249,0.808586456182142,0.4029309767809332,-0.0050000000000001,0.27458221876641986
FRA,2388,0.02435875089080311,0.018564243454766104,-0.8212561394159823,0.011389093121381894,0.13652871875844316,0.5177366008367479,0.7791432014963141,0.5072631872194591,0.8085863839157308,0.40091632189702864,-0.0049999999999998,0.27320930767258783
FRA,2389,0.024358795629215696,0.018471415799218523,-0.8212469832276077,0.011389134922406813,0.1365287048247682,0.5177369418530813,0.7807278348999089,0.5072632099903022,0.8085863145747816,0.39891174028754345,-0.0050000000000001,0.27184326113422486
FRA,2390,0.02435883897003116,0.018379052514267108,-0.82123802967156,0.011389174920556244,0.1365286914920517,0.5177372721763216,0.7823204118810053,0.5072632317790403,0.8085862482245028,0.3969171815861057,-0.005,0.2704840448285537
FRA,2391,0.02435888090626736,0.01828715127689094,-0.8212292761691935,0.011389213065211706,0.13652867877716657,0.5177375914080293,0.7839209722439491,0.5072632525580993,0.8085861849488625,0.3949325956781752,-0.005,0.2691316246044109
FRA,2392,0.0243589214266673,0.01819570977629105,-0.8212207201156541,0.011389249292843934,0.13652866670128916,0.5177378990605553,0.7855295559618356,0.5072632722928722,0.8085861248532448,0.3929579326997843,-0.005,0.26778596648138897
FRA,2393,0.02435896051492499,0.018104725713926562,-0.8212123588553113,0.011389283529613936,0.13652865528903246,0.5177381945415965,0.7871462031688798,0.5072632909431355,0.8085860680601364,0.39099314303628535,-0.005,0.2664470366489819
FRA,2394,0.02435899814927285,0.018014196803497123,-0.8212041896902282,0.011389315692472701,0.1365286445680796,0.5177384771455322,0.7887709541550207,0.5072633084636486,0.8085860147073023,0.389038177321104,-0.0049999999999998,0.2651148014657371
FRA,2395,0.02435903430223415,0.017924120770901157,-0.8211962098565784,0.011389345689642755,0.1365286345690229,0.5177387460545309,0.7904038493644118,0.5072633248044167,0.8085859649469853,0.38709298643449846,-0.0050000000000001,0.2637892274584084
FRA,2396,0.024359068940455454,0.017834495354182654,-0.8211884164053029,0.011389373431890393,0.13652862532160703,0.5177390003624971,0.7920449293935137,0.5072633399168301,0.8085859189272097,0.38515752150232596,-0.005,0.2624702813211163
FRA,2397,0.024359102025708863,0.01774531830331592,-0.8211808059959167,0.011389398863299954,0.13652861684447049,0.5177392391760225,0.7936942349933469,0.5072633537704292,0.80858587674073,0.38323173389481435,-0.005,0.2611579299145108
FRA,2398,0.024359133518902953,0.017656587379581357,-0.8211733744970702,0.011389422056161835,0.13652860911351652,0.5177394619336464,0.7953518070717004,0.5072633664045936,0.808585838267629,0.3813155752253404,-0.0049999999999998,0.25985214026493825
FRA,2399,0.024359163393253933,0.017568300353704415,-0.8211661162065682,0.01138944347549986,0.13652860197373717,0.5177396694735849,0.7970176866994294,0.5072633780726421,0.8085858027365088,0.3794089973492137,-0.005,0.25855287956361356
FRA,2400,0.024359191672743873,0.017480455000605247,-0.8211590217804106,0.011389478569281158,0.1365285902758101,0.5177398682457038,0.7986919059069659,0.5072633971897568,0.8085857445217615,0.3775119523624676,-0.0050000000000001,0.2572601151657955
GBR,2016,0.0382200242836967,0.047086355,0.15553503468539542,0.015910482274792248,0.10942307140471269,0.5269879753920563,0.6643569069437774,0.31303845405859326,0.6230290895097002,1.0,0.0077299505809076,0.8427247059974425
GBR,2017,0.037300110771887586,0.0476763423609229,0.0954374447789137,0.00946985062231917,0.11142584419669305,0.5253747615054998,0.6613730031452483,0.30960203163427275,0.644900500878688,1.0069299053928775,0.0069299053928775,0.8476349612657661
