isocode,year,r,Y,NFA_Y,PB_Y,G_Y,C_Y,Inc_Y,tau,d_bar,pop,pop_growth,pop_working,r_soe,Y_soe,PB_Y_soe,G_Y_soe,tau_soe,d_bar_soe
AUS,2016,0.0382200242836967,0.022904607,-0.48724944143538007,-0.008688659055561099,0.10013950355167077,0.420702932204641,0.6018366277548519,0.2792794805492786,0.7221902262068138,1.0,0.0158803506367375,0.8701470987460769,0.0382200242836967,0.022904607,-0.015587487973705239,0.10243911319105216,0.2746148997656311,0.7581122636707752
AUS,2017,0.03970562462696824,0.023463585785819523,-0.4447165683659513,-0.007918072681161722,0.10007036400406445,0.4196471573226145,0.6042468986566658,0.27941972478883625,0.7217520268986479,1.0164232996246476,0.0164232996246476,0.883035175125809,0.0382200242836967,0.023839958517854084,-0.014903565875410835,0.10239886173548082,0.2746965467386462,0.7586073142993804
AUS,2018,0.041081557170227,0.024033479139238183,-0.3998407232737229,-0.053064009675657414,0.11527768220326372,0.4191463935156174,0.6370701715937634,0.24857285276847,0.9657347648107946,1.0323331821225672,0.0156528116817027,0.8952593545117897,0.0382200242836967,0.024776198903028252,-0.0605674789351456,0.11777883862309312,0.24349944988606978,1.0057713147099818
AUS,2019,0.04231733004379133,0.024593519822569274,-0.362541339687394,-0.09880075547589368,0.1306217857996237,0.4191631740111099,0.6715714899731262,0.21744852212027724,1.2151666816468585,1.0471822028014108,0.0143839420605591,0.9060965744726138,0.0382200242836967,0.025681965688407683,-0.11292927572881804,0.13533129255059848,0.2078956509221182,1.291086745106295
AUS,2020,0.04433399604265424,0.02474530678182954,-0.21570512759306837,0.016012462264662852,0.09230644736837425,0.4252228737852462,0.6091160796849681,0.2951682308502494,0.5977390097757224,1.057825383453016,0.010163637830296,0.9124439748296118,0.0382200242836967,0.026379977323797633,0.00949957210766847,0.09447741075403905,0.2907645990697275,0.6326252123446259
AUS,2021,0.04484928252188144,0.025335807008570382,-0.19898827753559978,0.050965910222525376,0.0806552950077969,0.4237789428488643,0.5855715714549369,0.31880169475550535,0.410511376161415,1.0664628715850282,0.0081653250783386,0.9168340625807058,0.0382200242836967,0.027150677418575204,0.044204630228170214,0.08290905500591529,0.3142301164327581,0.44672806743228993
AUS,2022,0.045427773990011265,0.02610527600246883,-0.20306430923019825,0.01181503723865615,0.09385993042604043,0.4217478076510148,0.6087513598756428,0.2920171102885609,0.622143704234425,1.076474958159878,0.0093881248392355,0.923116895878075,0.0382200242836967,0.028138614556327827,0.005603967885822472,0.09593028687698499,0.28781755191526476,0.6557853222903172
AUS,2023,0.045929830309367314,0.026816412994804414,-0.19343357555300233,-0.0025710675133439886,0.09877223667371952,0.41664590025655796,0.6174131071287805,0.2820528759533458,0.7022150380010669,1.0867498428745268,0.0095449361239323,0.9297620606883252,0.0382200242836967,0.029050791675547197,-0.00734444808185529,0.10036336352988996,0.2788253978498732,0.7282905339869731
AUS,2024,0.04612319879513078,0.027446704015876795,-0.1821598526591437,-0.0014046620288292594,0.09838095993928073,0.413510025184641,0.6156229720999796,0.28284655062981945,0.6957985853705966,1.0974802525939844,0.0098738544015566,0.9364632205530723,0.0382200242836967,0.029791020813580194,-0.005187810004714327,0.09964200926457575,0.2802886093387118,0.716461010633108
AUS,2025,0.04610076059243924,0.028091815203618697,-0.17964670434383745,0.008578447275964143,0.09501714065158699,0.4127860428653722,0.607024726297225,0.28966979860214054,0.6407662668847947,1.1081511243600544,0.0097230649397548,0.942951544224278,0.0382200242836967,0.030484413279403846,0.005370423859626924,0.09608648179036607,0.2875007225808492,0.6582414135909636
AUS,2026,0.04596357322833151,0.02877834392403749,-0.1832935858176592,0.010882839635811214,0.09421107743051547,0.4116408683032293,0.6026678805244343,0.2913048356740962,0.6277178899094237,1.1185124563726079,0.009350107385883,0.9490398528241643,0.0382200242836967,0.031186699254104496,0.008401030812152765,0.09503834703840162,0.2896267830821444,0.6411998374911467
AUS,2027,0.04570372800019471,0.02945304578832038,-0.18750688403385318,0.010908351896903298,0.09413881403312281,0.41084088956293907,0.5995277548839224,0.2914514164020017,0.626753026452999,1.1286460464556503,0.009059881296187,0.9548484510818858,0.0382200242836967,0.0318350664349787,0.008830109163284666,0.0948315616109957,0.29004623137219226,0.6379906031034246
AUS,2028,0.045397263052471847,0.03011994901987895,-0.1916659992732095,0.009824785783844867,0.09443011847040152,0.41029854276009436,0.5970984543139248,0.29086052781941296,0.631685729285767,1.1386751262404167,0.0088859388789437,0.9605915597459147,0.0382200242836967,0.03245604914525872,0.008209464612976211,0.09496855886069107,0.28976834301783944,0.6403762358480796
AUS,2029,0.045034412756011936,0.03083635789692642,-0.2048605721078003,-0.0007531471888043706,0.09791451909483408,0.4092919469598943,0.6005923282641626,0.28379268990600526,0.6878789624617285,1.1484136756251329,0.0085525266691914,0.9662147785434154,0.0382200242836967,0.0331069931055049,-0.0009159546811678548,0.09796878825895523,0.28368260909238846,0.6887522610960319
AUS,2030,0.0444217033420353,0.03163394253079872,-0.24363248696786677,-0.000883775062021197,0.09793551282734644,0.407321194538054,0.595924043600272,0.2837501057388591,0.6881916833477875,1.157902799250735,0.0082628096712944,0.9718443623390693,0.0382200242836967,0.03375367974574417,-0.0008464892046028127,0.09792308420820699,0.283775316234159,0.687992005314233
